T,H,year,month,day,date
24.98,83.25,2005,9,6,2005-09-06
25.52,75.75,2005,9,7,2005-09-07
25.68,76.5,2005,9,8,2005-09-08
26.100000000000001,69.25,2005,9,9,2005-09-09
24.960000000000001,74,2005,9,10,2005-09-10
25.68,71.5,2005,9,11,2005-09-11
25.640000000000001,70.5,2005,9,12,2005-09-12
25.600000000000001,79,2005,9,13,2005-09-13
24.780000000000001,78.5,2005,9,14,2005-09-14
25.32,72.5,2005,9,15,2005-09-15
24.02,75.75,2005,9,16,2005-09-16
24.800000000000001,69.75,2005,9,17,2005-09-17
24.5,75.5,2005,9,18,2005-09-18
24.800000000000001,78.5,2005,9,19,2005-09-19
24.059999999999999,77,2005,9,20,2005-09-20
23.940000000000001,77.5,2005,9,21,2005-09-21
24.640000000000001,79,2005,9,22,2005-09-22
25.66,73.75,2005,9,23,2005-09-23
25.620000000000001,75,2005,9,24,2005-09-24
25.940000000000001,77.25,2005,9,25,2005-09-25
26.379999999999999,75.25,2005,9,26,2005-09-26
26.359999999999999,75,2005,9,27,2005-09-27
25.600000000000001,71.5,2005,9,28,2005-09-28
26.260000000000002,73.75,2005,9,29,2005-09-29
24.48,78,2005,9,30,2005-09-30
25.780000000000001,75.25,2005,10,1,2005-10-01
25.539999999999999,72.5,2005,10,2,2005-10-02
25.579999999999998,71.75,2005,10,3,2005-10-03
26.52,81.25,2005,10,4,2005-10-04
26.280000000000001,81.5,2005,10,5,2005-10-05
26.539999999999999,72.75,2005,10,6,2005-10-06
24.739999999999998,91,2005,10,7,2005-10-07
25.52,73,2005,10,8,2005-10-08
24.960000000000001,73,2005,10,9,2005-10-09
24.620000000000001,82.5,2005,10,10,2005-10-10
24.300000000000001,84.25,2005,10,11,2005-10-11
25.719999999999999,75.25,2005,10,12,2005-10-12
25.620000000000001,74,2005,10,13,2005-10-13
26.02,71.25,2005,10,14,2005-10-14
25.120000000000001,74.25,2005,10,15,2005-10-15
25.920000000000002,73,2005,10,16,2005-10-16
26.079999999999998,74.25,2005,10,17,2005-10-17
26.460000000000001,72,2005,10,18,2005-10-18
26.48,70.5,2005,10,19,2005-10-19
26.440000000000001,70,2005,10,20,2005-10-20
26.739999999999998,73.25,2005,10,21,2005-10-21
26.559999999999999,71,2005,10,22,2005-10-22
26.379999999999999,66,2005,10,23,2005-10-23
26.02,73.5,2005,10,24,2005-10-24
25.600000000000001,75.25,2005,10,25,2005-10-25
26.399999999999999,73.75,2005,10,26,2005-10-26
26.879999999999999,71,2005,10,27,2005-10-27
26.460000000000001,67.5,2005,10,28,2005-10-28
25.460000000000001,73,2005,10,29,2005-10-29
26.420000000000002,69.5,2005,10,30,2005-10-30
26.719999999999999,67.75,2005,10,31,2005-10-31
26.579999999999998,66.25,2005,11,1,2005-11-01
26.460000000000001,70.75,2005,11,2,2005-11-02
27.199999999999999,70.25,2005,11,3,2005-11-03
26.100000000000001,70,2005,11,4,2005-11-04
24.579999999999998,80.75,2005,11,5,2005-11-05
26.140000000000001,68.25,2005,11,6,2005-11-06
25.98,73,2005,11,7,2005-11-07
27.039999999999999,71,2005,11,8,2005-11-08
26.899999999999999,73,2005,11,9,2005-11-09
26.460000000000001,69.5,2005,11,10,2005-11-10
26.239999999999998,68.75,2005,11,11,2005-11-11
26.899999999999999,66.75,2005,11,12,2005-11-12
26.600000000000001,71.25,2005,11,13,2005-11-13
26.98,67.25,2005,11,14,2005-11-14
26.739999999999998,65.5,2005,11,15,2005-11-15
26.5,78,2005,11,16,2005-11-16
27,71.25,2005,11,17,2005-11-17
27.359999999999999,67,2005,11,18,2005-11-18
27.219999999999999,71,2005,11,19,2005-11-19
26.34,72.75,2005,11,20,2005-11-20
26.960000000000001,70.75,2005,11,21,2005-11-21
26.98,72.5,2005,11,22,2005-11-22
27.32,73.5,2005,11,23,2005-11-23
27.940000000000001,72.25,2005,11,24,2005-11-24
27.879999999999999,67.75,2005,11,25,2005-11-25
27.32,70.25,2005,11,26,2005-11-26
27.739999999999998,72,2005,11,27,2005-11-27
28.199999999999999,66.25,2005,11,28,2005-11-28
27.120000000000001,74.75,2005,11,29,2005-11-29
27.68,65.75,2005,11,30,2005-11-30
27.199999999999999,69.25,2005,12,1,2005-12-01
26.68,71,2005,12,2,2005-12-02
27.48,72.5,2005,12,3,2005-12-03
27.579999999999998,74.25,2005,12,4,2005-12-04
27.879999999999999,69.75,2005,12,5,2005-12-05
25.440000000000001,84.5,2005,12,6,2005-12-06
26.739999999999998,79.25,2005,12,7,2005-12-07
27.039999999999999,71,2005,12,8,2005-12-08
27.18,72,2005,12,9,2005-12-09
26.600000000000001,74,2005,12,10,2005-12-10
25.879999999999999,84.75,2005,12,11,2005-12-11
27.02,71.25,2005,12,12,2005-12-12
27,71,2005,12,13,2005-12-13
25.079999999999998,85.25,2005,12,14,2005-12-14
26.460000000000001,72,2005,12,15,2005-12-15
26.440000000000001,74,2005,12,16,2005-12-16
26.719999999999999,74.25,2005,12,17,2005-12-17
27.34,71,2005,12,18,2005-12-18
27.100000000000001,76.75,2005,12,19,2005-12-19
27.079999999999998,70.5,2005,12,20,2005-12-20
27.079999999999998,70,2005,12,21,2005-12-21
26.32,68,2005,12,22,2005-12-22
26.640000000000001,70,2005,12,23,2005-12-23
26.579999999999998,65.75,2005,12,24,2005-12-24
26.280000000000001,68.25,2005,12,25,2005-12-25
26.399999999999999,67.25,2005,12,26,2005-12-26
27.02,71,2005,12,27,2005-12-27
26.899999999999999,74,2005,12,28,2005-12-28
26.219999999999999,76.25,2005,12,29,2005-12-29
26.579999999999998,73,2005,12,30,2005-12-30
26.66,73,2005,12,31,2005-12-31
25.82,74.5,2006,1,1,2006-01-01
25.879999999999999,74.5,2006,1,2,2006-01-02
26.379999999999999,74.75,2006,1,3,2006-01-03
26.940000000000001,72.75,2006,1,4,2006-01-04
27.300000000000001,69.75,2006,1,5,2006-01-05
26.739999999999998,69.25,2006,1,6,2006-01-06
26.460000000000001,67.25,2006,1,7,2006-01-07
27.100000000000001,63.25,2006,1,8,2006-01-08
26.859999999999999,73.75,2006,1,9,2006-01-09
27.239999999999998,70.25,2006,1,10,2006-01-10
27.66,70.75,2006,1,11,2006-01-11
27.48,71.75,2006,1,12,2006-01-12
27.440000000000001,69.75,2006,1,13,2006-01-13
26.780000000000001,68.5,2006,1,14,2006-01-14
25.98,68,2006,1,15,2006-01-15
26.620000000000001,75.25,2006,1,16,2006-01-16
27.359999999999999,73.5,2006,1,17,2006-01-17
27.359999999999999,70.25,2006,1,18,2006-01-18
26.260000000000002,72.5,2006,1,19,2006-01-19
26.420000000000002,70.75,2006,1,20,2006-01-20
27.059999999999999,70,2006,1,21,2006-01-21
27.739999999999998,70,2006,1,22,2006-01-22
27.460000000000001,70.5,2006,1,23,2006-01-23
27.16,70.5,2006,1,24,2006-01-24
27.780000000000001,70.5,2006,1,25,2006-01-25
28.100000000000001,68.5,2006,1,26,2006-01-26
28.239999999999998,69.5,2006,1,27,2006-01-27
27.68,69,2006,1,28,2006-01-28
27.539999999999999,70.25,2006,1,29,2006-01-29
27.640000000000001,68.25,2006,1,30,2006-01-30
27.800000000000001,68.75,2006,1,31,2006-01-31
27.219999999999999,63.5,2006,2,1,2006-02-01
27.739999999999998,70.75,2006,2,2,2006-02-02
27.84,70.25,2006,2,3,2006-02-03
27.579999999999998,69.5,2006,2,4,2006-02-04
27.960000000000001,67,2006,2,5,2006-02-05
27.780000000000001,71,2006,2,6,2006-02-06
27.5,71,2006,2,7,2006-02-07
27.460000000000001,66.75,2006,2,8,2006-02-08
28,67,2006,2,9,2006-02-09
27.780000000000001,67.25,2006,2,10,2006-02-10
27.399999999999999,71,2006,2,11,2006-02-11
26.940000000000001,71,2006,2,12,2006-02-12
27.84,73.75,2006,2,13,2006-02-13
27.899999999999999,70.75,2006,2,14,2006-02-14
27.5,67.5,2006,2,15,2006-02-15
27.579999999999998,70.25,2006,2,16,2006-02-16
28.100000000000001,70,2006,2,17,2006-02-17
27.800000000000001,70.25,2006,2,18,2006-02-18
28.199999999999999,70.75,2006,2,19,2006-02-19
27.5,66.25,2006,2,20,2006-02-20
27.199999999999999,77.5,2006,2,21,2006-02-21
26.66,79.75,2006,2,22,2006-02-22
28.100000000000001,71.75,2006,2,23,2006-02-23
28.079999999999998,70.5,2006,2,24,2006-02-24
27.379999999999999,75.75,2006,2,25,2006-02-25
28.18,73,2006,2,26,2006-02-26
28.039999999999999,71.5,2006,2,27,2006-02-27
28.100000000000001,68.5,2006,2,28,2006-02-28
28.02,71.75,2006,3,1,2006-03-01
27.18,78,2006,3,2,2006-03-02
26.120000000000001,85.25,2006,3,3,2006-03-03
27.48,75.75,2006,3,4,2006-03-04
27.68,71.75,2006,3,5,2006-03-05
27.940000000000001,73.5,2006,3,6,2006-03-06
28.32,66.75,2006,3,7,2006-03-07
27.960000000000001,70,2006,3,8,2006-03-08
28.02,71.75,2006,3,9,2006-03-09
28,71.5,2006,3,10,2006-03-10
27.399999999999999,76.75,2006,3,11,2006-03-11
27.98,69,2006,3,12,2006-03-12
27.98,67.75,2006,3,13,2006-03-13
28.199999999999999,68.75,2006,3,14,2006-03-14
28.140000000000001,69,2006,3,15,2006-03-15
28.379999999999999,70.25,2006,3,16,2006-03-16
28.300000000000001,72.5,2006,3,17,2006-03-17
27.960000000000001,73,2006,3,18,2006-03-18
26.66,79.25,2006,3,19,2006-03-19
26.52,82.5,2006,3,20,2006-03-20
27.34,72.75,2006,3,21,2006-03-21
27.239999999999998,76.5,2006,3,22,2006-03-22
26.399999999999999,84.25,2006,3,23,2006-03-23
26.719999999999999,77.25,2006,3,24,2006-03-24
27.68,77,2006,3,25,2006-03-25
27.199999999999999,80.5,2006,3,26,2006-03-26
28.219999999999999,80.5,2006,3,27,2006-03-27
27.960000000000001,74.5,2006,3,28,2006-03-28
27.84,74,2006,3,29,2006-03-29
27.82,74.25,2006,3,30,2006-03-30
27.48,79.5,2006,3,31,2006-03-31
25.5,88,2006,4,1,2006-04-01
26.300000000000001,80.5,2006,4,2,2006-04-02
27.219999999999999,73.75,2006,4,3,2006-04-03
27.68,72,2006,4,4,2006-04-04
27.039999999999999,80.5,2006,4,5,2006-04-05
27.82,74.25,2006,4,6,2006-04-06
28.079999999999998,75.5,2006,4,7,2006-04-07
